type,timestamp,cluster,node,sourceip,user,latitude,longitude,city,country
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:41.822Z,pc763,vhost-0,209.146.20.162,UNKNOWN
REVERSE_MAPPING,2019-03-28T03:58:41.823Z,pc762,node-21,139.59.94.192,129360.cloudwaysapps.com
INVALID_USER,2019-03-28T03:58:41.822Z,pc505,vhost-0,209.146.20.162,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:42.826Z,pc742,computer2,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:42.826Z,pc319,pc319,209.146.20.162,UNKNOWN
DISCONNECT_INVALID_USER,2019-03-28T03:58:42.826Z,pc773,n1,209.146.20.162,other
INVALID_USER,2019-03-28T03:58:41.823Z,pc762,node-21,UNKNOWN,other
DISCONNECT_INVALID_USER,2019-03-28T03:58:44.575Z,clnode095,cp-1,5.200.56.221,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:43.854Z,pc468,serv14,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:43.854Z,pc288,pc288,209.146.20.162,UNKNOWN
INVALID_USER,2019-03-28T03:58:43.854Z,pc540,node-58,UNKNOWN,other
INVALID_USER,2019-03-28T03:58:43.854Z,pc701,node-7,UNKNOWN,other
INVALID_USER,2019-03-28T03:58:43.854Z,pc301,localhost,209.146.20.162,other
INVALID_USER,2019-03-28T03:58:42.538Z,clnode015,node-4,UNKNOWN,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:42.653Z,c220g1-031108,node-9,187.49.236.242,UNKNOWN
INVALID_USER,2019-03-28T03:58:43.001Z,ms1106,sw3,119.57.164.56,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:44.917Z,pc796,controller,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:44.917Z,pc433,node-61,209.146.20.162,UNKNOWN
INVALID_USER,2019-03-28T03:58:44.918Z,pc531,node-16,140.206.32.247,other
INVALID_USER,2019-03-28T03:58:44.741Z,c220g1-030601,pc-1,186.120.93.42,other
REVERSE_MAPPING,2019-03-28T03:58:44.741Z,c220g1-030601,pc-1,186.120.93.42,adsl-93-42.tricom.net
INVALID_USER,2019-03-28T03:58:44.918Z,knvm0-3,kn-collector,UNKNOWN,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:43.854Z,pc336,localhost,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:43.854Z,pc250,localhost,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:43.854Z,pc493,node-32,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:44.741Z,c220g1-030601,pc-1,186.120.93.42,UNKNOWN
DISCONNECT_INVALID_USER,2019-03-28T03:58:44.918Z,pc852,node3,45.122.221.42,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:44.918Z,pc763,vhost-0,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:44.918Z,knvm0-1,ccnie,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:44.918Z,pc531,node-16,140.206.32.247,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:44.918Z,pc512,node-56,209.146.20.162,UNKNOWN
INVALID_USER,2019-03-28T03:58:44.918Z,pc537,node-57,209.146.20.162,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:39.749Z,pcvm603-7,vm1,209.146.20.162,UNKNOWN
DISCONNECT_INVALID_USER,2019-03-28T03:58:39.750Z,pc763,vhost-0,209.146.20.162,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:58:39.748Z,pc429,node-74,209.146.20.162,UNKNOWN
INVALID_USER,2019-03-28T03:58:39.750Z,pc546,node-10,193.214.41.138,other
